,Date,ticker,AAPL,GOOGL,MSFT
0,2026-02-25,Close,274.2300109863281,312.67987060546875,400.6000061035156
1,2026-02-25,High,274.94000244140625,313.4193707572093,401.4700012207031
2,2026-02-25,Low,271.04998779296875,309.22231323387047,390.1600036621094
3,2026-02-25,Open,271.7799987792969,311.84046520002283,390.5299987792969
4,2026-02-25,Volume,33714300.0,29963600.0,43625500.0
5,2026-02-26,Close,272.95001220703125,307.1637878417969,401.7200012207031
6,2026-02-26,High,276.1099853515625,312.9197459051382,407.489990234375
7,2026-02-26,Low,270.79998779296875,302.1373272609355,398.739990234375
8,2026-02-26,Open,274.95001220703125,312.42009761480955,404.7099914550781
9,2026-02-26,Volume,32345100.0,36431200.0,34405900.0
10,2026-02-27,Close,264.17999267578125,311.54071044921875,392.739990234375
11,2026-02-27,High,272.80999755859375,312.1502667227519,396.82000732421875
12,2026-02-27,Low,262.8900146484375,303.5862877430576,389.8800048828125
13,2026-02-27,Open,272.80999755859375,303.92607541564644,390.8800048828125
14,2026-02-27,Volume,72366500.0,44640600.0,51367200.0
15,2026-03-02,Close,264.7200012207031,306.3043518066406,398.54998779296875
16,2026-03-02,High,266.5299987792969,308.27296712894787,401.19000244140625
17,2026-03-02,Low,260.20001220703125,301.088022863519,390.6300048828125
18,2026-03-02,Open,262.4100036621094,303.0166882830762,392.8599853515625
19,2026-03-02,Volume,41827900.0,34790200.0,35474900.0
20,2026-03-03,Close,263.75,303.3664245605469,403.92999267578125
21,2026-03-03,High,265.55999755859375,303.72618716624237,406.70001220703125
22,2026-03-03,Low,260.1300048828125,296.5012623376298,392.6700134277344
23,2026-03-03,Open,263.4800109863281,298.37994467731505,393.1400146484375
24,2026-03-03,Volume,38568900.0,35497000.0,38199200.0
25,2026-03-04,Close,262.5199890136719,302.9167785644531,405.20001220703125
26,2026-03-04,High,266.1499938964844,305.2551289128473,411.0299987792969
27,2026-03-04,Low,261.4200134277344,300.5384478137644,400.30999755859375
28,2026-03-04,Open,264.6499938964844,302.6769571429086,401.2699890136719
29,2026-03-04,Volume,39803100.0,29536200.0,35808000.0
30,2026-03-05,Close,260.2900085449219,300.6683349609375,410.67999267578125
31,2026-03-05,High,261.55999755859375,303.08661540637286,411.6099853515625
32,2026-03-05,Low,257.25,297.78035344585857,404.3999938964844
33,2026-03-05,Open,260.7900085449219,302.82681905445145,404.4200134277344
34,2026-03-05,Volume,49658600.0,35752300.0,39001300.0
35,2026-03-06,Close,257.4599914550781,298.30999755859375,408.9599914550781
36,2026-03-06,High,258.7699890136719,300.31859339921897,413.04998779296875
37,2026-03-06,Low,254.3699951171875,294.97235071392555,408.510009765625
38,2026-03-06,Open,258.6300048828125,295.88171424137005,409.20001220703125
39,2026-03-06,Volume,41120000.0,25576900.0,31123900.0
40,2026-03-09,Close,259.8800048828125,306.3599853515625,409.4100036621094
41,2026-03-09,High,261.1499938964844,306.79998779296875,410.2099914550781
42,2026-03-09,Low,253.67999267578125,294.0799865722656,403.5
43,2026-03-09,Open,255.69000244140625,294.3599853515625,404.9200134277344
44,2026-03-09,Volume,38218500.0,29312100.0,30131900.0
45,2026-03-10,Close,260.8299865722656,307.0400085449219,405.760009765625
46,2026-03-10,High,262.4800109863281,309.510009765625,410.20001220703125
47,2026-03-10,Low,256.95001220703125,305.57000732421875,402.92999267578125
48,2026-03-10,Open,257.6499938964844,306.1700134277344,410.0299987792969
49,2026-03-10,Volume,30590800.0,23239700.0,31706400.0
50,2026-03-11,Close,260.80999755859375,308.70001220703125,404.8800048828125
51,2026-03-11,High,262.1300048828125,311.4200134277344,409.010009765625
52,2026-03-11,Low,259.54998779296875,305.9200134277344,401.5899963378906
53,2026-03-11,Open,261.0899963378906,306.75,405.57000732421875
54,2026-03-11,Volume,26218900.0,24125700.0,25512100.0
55,2026-03-12,Close,255.75999450683594,303.54998779296875,401.8599853515625
56,2026-03-12,High,258.95001220703125,308.94000244140625,406.1199951171875
57,2026-03-12,Low,254.17999267578125,301.0299987792969,401.7099914550781
58,2026-03-12,Open,258.6600036621094,306.82000732421875,404.6300048828125
59,2026-03-12,Volume,40794000.0,24928300.0,27263900.0
60,2026-03-13,Close,250.1199951171875,302.2799987792969,395.54998779296875
61,2026-03-13,High,256.3299865722656,307.69000244140625,404.79998779296875
62,2026-03-13,Low,249.52000427246094,300.44000244140625,394.25
63,2026-03-13,Open,255.47999572753906,307.010009765625,401.0
64,2026-03-13,Volume,36930000.0,23693100.0,26848000.0
65,2026-03-16,Close,252.82000732421875,305.55999755859375,399.95001220703125
66,2026-03-16,High,253.88999938964844,306.489990234375,400.6300048828125
67,2026-03-16,Low,249.8800048828125,303.0199890136719,394.7900085449219
68,2026-03-16,Open,252.11000061035156,304.3500061035156,398.07000732421875
69,2026-03-16,Volume,32074200.0,23519700.0,27733700.0
70,2026-03-17,Close,254.22999572753906,310.9200134277344,399.4100036621094
71,2026-03-17,High,255.1300048828125,311.4200134277344,404.3999938964844
72,2026-03-17,Low,252.17999267578125,305.5,397.75
73,2026-03-17,Open,252.9600067138672,305.8599853515625,400.2699890136719
74,2026-03-17,Volume,32361600.0,21955200.0,26228300.0
75,2026-03-18,Close,249.94000244140625,307.69000244140625,391.7900085449219
76,2026-03-18,High,254.94000244140625,312.4700012207031,398.0
77,2026-03-18,Low,249.0,306.92999267578125,391.0
78,2026-03-18,Open,252.6300048828125,309.2699890136719,397.1300048828125
79,2026-03-18,Volume,35757900.0,20009800.0,25908500.0
80,2026-03-19,Close,248.9600067138672,307.1300048828125,389.0199890136719
81,2026-03-19,High,251.8300018310547,308.05999755859375,392.489990234375
82,2026-03-19,Low,247.3000030517578,302.3500061035156,387.05999755859375
83,2026-03-19,Open,249.39999389648438,304.010009765625,390.1000061035156
84,2026-03-19,Volume,34864100.0,25075800.0,25138800.0
85,2026-03-20,Close,247.99000549316406,301.0,381.8699951171875
86,2026-03-20,High,249.1999969482422,306.0,387.0
87,2026-03-20,Low,246.0,298.2699890136719,380.1199951171875
88,2026-03-20,Open,247.97999572753906,305.4599914550781,386.7900085449219
89,2026-03-20,Volume,88331100.0,44364100.0,50853200.0
90,2026-03-23,Close,251.49000549316406,302.05999755859375,383.0
91,2026-03-23,High,254.60000610351562,305.9800109863281,387.2099914550781
92,2026-03-23,Low,250.27999877929688,300.92999267578125,381.67999267578125
93,2026-03-23,Open,253.97000122070312,302.1099853515625,383.8999938964844
94,2026-03-23,Volume,40546100.0,29326900.0,29680100.0
95,2026-03-24,Close,251.63999938964844,290.44000244140625,372.739990234375
96,2026-03-24,High,254.8249969482422,299.9200134277344,382.4700012207031
97,2026-03-24,Low,249.5500030517578,290.3349914550781,371.8500061035156
98,2026-03-24,Open,250.49000549316406,299.1099853515625,382.4100036621094
99,2026-03-24,Volume,27882961.0,36679100.0,40186581.0
